user_id,age,weight,height,gender,BMR
1243,27,73.06683253,162.7238871,Male,1576.878448
4971,28,77.73028374,179.4954135,Female,1536.656455
1629,57,85.70479046,158.4030525,Male,1697.694955
6201,47,67.01218612,168.1137465,Male,1471.524942
7833,36,79.92951177,175.5611258,Male,1743.147435
4247,46,50.48035851,166.8278527,Female,1172.685222
3340,28,72.20326486,180.9179935,Female,1630.42311
1846,54,98.7433747,146.6830866,Female,1508.668169
290,21,78.84881991,181.4781073,Female,1602.908756
7900,29,74.40315482,164.6734059,Female,1526.096887
1803,21,42.34314165,157.8942081,Female,1207.788567
6655,59,58.73064702,176.2626455,Male,1367.460156
948,48,77.07754313,165.3250569,Female,1334.084436
5878,44,61.09476283,160.9410463,Male,1340.933272
4322,22,52.79225616,185.8429961,Male,1582.10402
8647,40,46.89250889,169.5522727,Female,1191.244318
7220,50,84.14432962,182.1072872,Male,1693.194174
757,43,84.38002298,145.8912461,Female,1442.050238
6289,41,60.27366387,166.8376402,Male,1387.852476
8381,39,71.12148097,179.6578056,Female,1640.78219
8856,29,72.90368318,155.2792118,Male,1587.495885
5779,34,64.29952046,172.8417131,Female,1395.615533
859,37,105.5301134,172.5205216,Male,1879.904615
5382,31,80.82227389,173.9654847,Male,1752.548087
267,60,64.24953564,176.2537098,Male,1390.801124
5863,52,63.16679705,177.008862,Female,1403.16234
6751,64,67.56042509,164.6383904,Male,1330.354744
7807,52,35.9916569,175.4281485,Male,1197.69123
6194,41,81.55835268,190.2206412,Female,1575.617275
5665,51,79.3540696,154.2821977,Male,1502.503413
2200,53,92.99843162,184.1755628,Male,1775.456421
3453,26,79.58352637,172.6016854,Male,1719.93632
7487,31,39.64747644,150.491056,Female,1060.646244
2655,49,56.1789725,166.2236885,Male,1348.309195
1346,48,87.01191709,188.4281252,Female,1708.140759
3234,52,74.88837132,188.7926806,Female,1527.578767
724,55,65.2237939,186.8813993,Female,1379.852345
8357,36,60.61674169,191.3937278,Male,1574.794468
7825,28,33.70858212,185.1903466,Male,1425.663577
3691,44,81.63184159,171.0908666,Male,1675.692047
8665,52,83.63070386,174.2844818,Female,1462.986914
990,52,85.19306036,181.6629958,Female,1583.14553
2262,29,60.49224463,146.7658978,Male,1399.472848
8546,52,56.91492573,186.9423438,Female,1335.3044
60,56,84.02383901,181.0928618,Male,1708.07757
4712,33,61.45153854,168.3075338,Male,1508.020973
5199,26,82.50005961,164.3500689,Female,1515.70382
3353,41,58.01002668,164.7567905,Male,1390.185521
1580,49,67.98477714,173.763099,Male,1509.026678
292,42,75.56537731,165.8049287,Male,1508.128089
8157,18,73.57859473,172.2319733,Male,1745.530267
6187,44,65.48607477,164.9481221,Female,1296.394419
4827,19,73.86989927,156.2813575,Male,1627.480934
3686,42,90.09660762,169.5605205,Female,1642.941576
7794,26,79.14071803,177.3042488,Male,1793.87384
8210,62,87.46643029,155.6243741,Female,1294.03828
2583,52,61.15481499,170.6975629,Female,1272.816123
5455,33,91.86712782,149.3981404,Male,1733.173671
610,30,83.55854996,174.7804896,Female,1666.40192
1305,31,63.4319751,171.0016144,Female,1405.502202
5186,53,84.00222565,162.864551,Female,1410.538092
7599,38,32.10736831,164.0685365,Female,1001.521466
3869,47,68.04497983,159.7279014,Male,1360.293914
4641,23,48.3384798,160.1057952,Female,1155.133833
4122,60,82.47278524,167.1608804,Male,1534.293694
5341,58,63.5495501,175.5703766,Female,1232.142674
7708,61,71.72176443,174.9621289,Male,1451.085385
5808,21,62.82113206,161.0971943,Male,1488.038747
7532,53,62.23683963,162.7541013,Female,1257.593333
3854,25,64.77271707,164.6342495,Male,1576.779983
1254,42,76.08722169,184.1776265,Male,1661.126215
2315,41,78.77580593,178.3454841,Male,1753.044269
547,59,80.28651222,168.8029332,Female,1388.505995
6236,30,60.38858088,184.3326877,Female,1438.961959
135,30,80.49750116,171.8209533,Female,1588.115923
7086,51,64.33017232,162.4208976,Male,1359.597369
5217,24,89.79148303,167.3630121,Male,1798.311512
1601,55,93.68197591,172.3912694,Female,1584.423045
4496,64,38.6743795,171.4636766,Female,972.409361
7823,31,87.02642955,155.5475184,Female,1546.941956
8772,33,84.2410717,169.7384315,Male,1747.133326
6303,55,58.17747321,150.4685732,Male,1330.253513
3096,54,75.90688222,176.7567691,Female,1335.898949
842,59,61.60162411,178.2845036,Male,1312.546947
2140,59,66.38631932,174.6699675,Male,1482.778855
4429,33,48.8450741,157.5542804,Male,1390.939153
3357,25,65.86917558,193.3738676,Female,1623.077455
7465,64,81.70357152,170.5875239,Male,1590.64141
6994,58,64.00691552,168.8618966,Female,1214.724845
801,21,64.70354433,165.8551041,Female,1488.82216
5124,46,45.68452715,165.6007274,Female,1076.918988
4249,38,52.9848705,165.5275409,Female,1213.473145
700,44,92.25939268,166.5594833,Male,1734.099462
8680,38,68.75204023,157.8601168,Male,1444.364757
2554,23,98.73142712,180.546754,Male,2014.658812
4351,53,81.81630068,157.0369339,Female,1394.339571
876,32,49.3687974,182.8371278,Male,1503.484673
3618,25,73.45535609,165.667664,Female,1458.096221
5040,30,79.87264501,152.6435084,Female,1503.059554
7580,27,67.4483643,186.3613279,Male,1663.460208
6489,39,71.14837821,164.2994622,Male,1494.6942
8560,27,75.26075426,171.3115899,Female,1529.390541
8706,30,73.43867846,157.3794615,Female,1435.139395
1439,45,84.35748271,157.7989374,Male,1571.576907
2420,28,46.37652655,150.4204378,Male,1287.854809
7361,38,45.02397838,169.1168682,Male,1239.732514
5928,26,66.49820526,184.6654379,Female,1552.196737
7604,33,48.31018757,169.0746801,Male,1378.035758
826,30,85.50961581,166.7462824,Female,1614.448919
895,36,51.27750567,162.0032007,Male,1365.692499
8682,26,85.22408782,171.4135056,Female,1647.539643
6816,57,75.21960328,160.8910562,Female,1293.153978
2380,42,76.26425327,175.6728767,Female,1452.173331
1522,35,51.28348676,188.0760698,Male,1523.26617
1871,19,71.7971279,160.5709475,Male,1575.77791
7569,59,84.22538078,162.7982502,Female,1363.100618
4513,42,70.59329475,168.3904226,Female,1429.460102
8345,47,52.04708888,171.4382472,Female,1184.990091
4454,30,62.1127611,150.9977246,Male,1359.804928
5157,23,61.09685989,160.4336555,Female,1361.079125
5771,44,66.88404385,152.2123668,Male,1368.497731
4780,46,71.17123665,171.0174147,Female,1416.173224
3363,31,59.81761671,171.1028975,Male,1400.993154
8166,56,74.03515751,156.238917,Female,1299.153805
1814,30,54.37493605,146.2758604,Female,1055.28383
7677,18,72.10118987,152.5576807,Male,1659.22013
1304,26,55.90374833,164.0507171,Female,1250.644618
6040,58,72.0949025,161.0063634,Male,1399.166724
2288,36,80.29876975,180.1149059,Female,1544.8779
6824,51,54.11147121,166.6538187,Male,1340.796545
2274,42,70.63560506,171.891261,Female,1442.136917
7472,36,71.12270377,172.9295097,Female,1481.80313
1712,32,63.83770515,167.3582689,Female,1382.942226
2962,24,42.92530349,177.0209018,Female,1257.60297
